# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.665789,0.028341,-0.000000,0.000000,1.756109,-2.783721,1.631766,-0.426904,0.042098,-0.284319,-0.000000,0.000000,1.873052,-2.390068,1.252837,-0.308987,0.029447,0.398714,0.000000,-0.000000,-0.003693,0.058927,-0.051674,0.016559,-0.001850,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.540869,-0.547207,0.104542,0.695851,-0.708061,0.363990,-0.094233,0.009432,0.443775,-0.439165,-0.401555,0.398192,-0.341759,0.202818,-0.055213,0.005508,0.520648,0.066185,0.006927,-0.043748,0.058687,-0.034292,0.009295,-0.000956,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.375551,0.679322,-0.282620,-0.018855,-0.149454,0.108473,-0.026759,0.002406,-0.537195,0.463503,0.380551,-0.016364,-0.142574,0.057294,-0.010758,0.000940,0.685836,0.064703,0.000964,-0.023280,0.035165,-0.021461,0.005932,-0.000616,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.424902,-0.734524,0.275519,0.210474,-0.047857,-0.008394,0.001922,-0.000035,0.643841,-0.522617,-0.468663,0.119615,0.038723,0.001641,-0.004553,0.000542,0.850390,0.063293,0.000672,-0.014654,0.023420,-0.015005,0.004315,-0.000463,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.672298,0.941795,-0.313241,-0.228969,0.068401,-0.009356,0.004244,-0.000651,-0.752306,0.562682,0.534691,-0.117026,-0.060709,0.012271,-0.001124,0.000336,1.014968,0.063631,0.000378,-0.014004,0.021307,-0.012987,0.003576,-0.000369,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.286012,-0.997163,0.373163,0.292218,-0.153012,0.040446,-0.009682,0.001114,0.834408,-0.647823,-0.567484,0.275116,-0.071049,0.053116,-0.017893,0.001899,1.179471,0.062597,0.000821,-0.007947,0.011675,-0.007222,0.002044,-0.000218,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.551717,0.816790,-0.338364,-0.165395,0.021900,0.022394,-0.005399,0.000300,-0.755722,0.536946,0.479360,-0.131173,-0.042718,-0.001495,0.006648,-0.000991,1.344173,0.062621,-0.000357,-0.007143,0.012352,-0.008039,0.002314,-0.000247,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.338358,-0.806151,0.273813,0.144471,0.013341,-0.049521,0.015196,-0.001545,0.676193,-0.438593,-0.440782,0.073756,0.135200,-0.073580,0.018334,-0.001946,1.508629,0.062467,0.000191,-0.006914,0.011741,-0.007864,0.002342,-0.000258,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.178017,0.634349,-0.239085,-0.205167,0.166410,-0.092609,0.030819,-0.003861,-0.588194,0.369757,0.361018,-0.206933,0.207120,-0.181564,0.063491,-0.007670,1.673269,0.063270,0.000031,-0.009477,0.012613,-0.006228,0.001261,-0.000080,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.413493,-0.593268,0.102925,-0.158895,0.806542,-0.633228,0.189899,-0.020160,0.507829,-0.250559,-0.445807,-0.401657,1.294260,-0.888415,0.250091,-0.025689,1.837020,0.061813,0.010885,0.018580,-0.065265,0.041844,-0.010328,0.000878,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
