# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.042857,-0.074992,0.000000,0.000000,-1.140760,1.236744,-0.489657,0.084844,-0.005468,0.345953,-0.000000,-0.000000,-0.231775,0.024952,0.056847,-0.018694,0.001644,0.400460,-0.000000,0.000000,-0.001628,0.002720,-0.001909,0.000566,-0.000055,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.024131,-0.429406,-0.149725,-0.175535,0.292139,-0.111533,0.017805,-0.001076,0.498761,0.287982,-0.411218,0.134296,-0.120856,0.057889,-0.010475,0.000644,0.456253,0.072034,0.002986,-0.037349,0.038463,-0.015973,0.002984,-0.000208,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.575331,0.482794,-0.385380,-0.210894,0.136670,-0.025938,0.002788,-0.000184,-0.322766,0.723732,0.242769,-0.182900,0.012344,-0.009893,0.004867,-0.000516,0.706049,0.068868,0.002901,-0.028940,0.030026,-0.012627,0.002390,-0.000169,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.287600,0.941608,0.315481,-0.277524,0.056407,-0.026438,0.008316,-0.000782,-0.766803,-0.478639,0.487996,0.003216,0.101406,-0.081583,0.017962,-0.001271,0.957471,0.069056,-0.000137,-0.027449,0.030376,-0.013067,0.002504,-0.000178,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.633164,-0.519301,0.608617,-0.004229,0.029415,-0.046784,0.011988,-0.000916,0.463315,-0.985597,-0.279708,0.165927,0.120355,-0.065193,0.010795,-0.000626,1.207270,0.070867,-0.000720,-0.030789,0.033581,-0.014187,0.002672,-0.000187,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.431854,-0.848517,-0.219897,0.098878,0.138633,-0.071518,0.012476,-0.000781,0.694601,0.434153,-0.488203,-0.132132,0.103669,-0.009975,-0.001585,0.000223,1.455867,0.070090,0.002611,-0.026960,0.025063,-0.009528,0.001650,-0.000108,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.427013,0.318930,-0.397291,-0.160396,0.146706,-0.031817,0.002203,0.000007,-0.317120,0.640684,0.198554,-0.092556,-0.116495,0.059541,-0.009321,0.000457,1.705293,0.061472,0.002301,-0.007166,0.007167,-0.002657,0.000364,-0.000014,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.420000,-0.750113,0.000000,0.000000,0.067872,0.008689,-0.047577,0.019093,-0.002233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.900395,-0.000000,0.000000,-0.390004,-0.081351,0.228506,-0.081718,0.008999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.759399,-0.00,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.509525,-0.320078,0.340204,-0.155256,0.022278,0.005672,-0.003393,0.000712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.740812,0.00,0.0,-0,0.0,0.0,-0.0,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.426571,0.146346,0.295863,0.285987,0.022318,-0.234448,0.099061,-0.012076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.752997,0.00,-0.0,-0.00,0.0,0.0,-0.0,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.900223,0.016226,-0.156374,0.354335,-0.159939,-0.169098,0.114821,-0.018017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.758029,0.00,-0.0,0.0,0.0,0.0,-0.00,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829894,-0.732392,0.497397,-0.179230,0.024127,0.014432,-0.008233,0.001231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.749559,-0.000000,-0.000000,3.028208,-3.264039,1.403886,-0.294859,0.025927,-0.152333,-0.000000,0.000000,-6.241274,10.688885,-6.788477,1.922354,-0.205632,0.400083,-0.000000,-0.000000,-0.009588,0.023710,-0.020729,0.007668,-0.001021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
