# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.665789,-0.300917,0.000000,0.000000,1.847568,-2.398495,1.224647,-0.289767,0.026497,-0.310047,0.000000,-0.000000,-0.514544,1.281932,-0.897265,0.256901,-0.026691,0.401283,0.000000,-0.000000,-0.035346,0.052552,-0.023452,0.004072,-0.000214,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.200620,-0.624589,-0.085024,0.347799,-0.231358,0.119420,-0.033119,0.003425,0.548779,0.066442,-0.286461,-0.450020,0.562545,-0.281255,0.070567,-0.007006,0.485003,0.058407,-0.005186,0.022954,-0.023580,0.010496,-0.002127,0.000158,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.097534,0.810693,0.048217,-0.127981,-0.070676,0.045672,-0.008606,0.000628,-0.667394,-0.045438,0.467816,-0.085516,0.104536,-0.093313,0.027000,-0.002664,0.649085,0.063333,-0.002256,-0.008648,0.017528,-0.011848,0.003453,-0.000370,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.073192,-0.858291,-0.081046,0.212944,-0.002154,-0.003935,-0.003230,0.000627,0.773658,0.100938,-0.515665,-0.081478,0.113123,-0.026114,0.004380,-0.000507,0.813309,0.062883,0.000945,-0.009462,0.013339,-0.007911,0.002155,-0.000222,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.045686,1.059457,0.111409,-0.204600,-0.069244,0.053950,-0.011404,0.000965,-0.881048,-0.142559,0.593993,0.032556,-0.040209,-0.022055,0.009199,-0.000936,0.977971,0.062252,-0.000016,-0.005446,0.009694,-0.006598,0.001978,-0.000219,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.381984,-1.121213,-0.168549,0.275182,0.095015,-0.093972,0.023789,-0.002205,0.983186,0.182212,-0.715374,-0.132180,0.276887,-0.118111,0.027021,-0.002657,1.142539,0.062856,-0.000149,-0.008108,0.013235,-0.008402,0.002387,-0.000253,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.016193,0.994950,0.068499,-0.273532,0.043724,-0.006918,0.004704,-0.000730,-0.881582,-0.141805,0.614214,-0.032534,-0.011486,-0.031429,0.011754,-0.001181,1.307080,0.062515,-0.000029,-0.007203,0.012537,-0.008435,0.002517,-0.000278,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.207143,-0.940383,-0.067075,0.192215,0.022270,-0.026240,0.003954,-0.000130,0.766134,0.160323,-0.524701,-0.022557,0.055143,0.009013,-0.006934,0.000835,1.471728,0.063068,-0.000873,-0.011004,0.020502,-0.014031,0.004208,-0.000466,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.248454,0.728497,0.075949,-0.167006,-0.040006,0.045329,-0.012271,0.001290,-0.653786,-0.166339,0.462235,0.055041,-0.141019,0.069244,-0.020246,0.002480,1.636303,0.063702,-0.001542,-0.018150,0.036567,-0.026679,0.008460,-0.000983,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.018608,-0.685171,-0.028122,0.257660,-0.422338,0.393437,-0.145113,0.018172,0.537128,0.145763,-0.319044,0.184115,-0.629241,0.597791,-0.206549,0.024339,1.801712,0.066162,-0.013001,-0.056814,0.154914,-0.128087,0.042938,-0.005118,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.219272,0.435209,0.006565,0.851986,-1.658689,1.038704,-0.274429,0.026502,0.005464,-0.061939,-0.083966,0.718535,-0.940694,0.504682,-0.122858,0.011275,1.902566,0.008446,-0.069324,-0.284667,1.131580,-1.059469,0.371847,-0.044659,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2.665789,0.064806,0.130128,-0.089407,-0.153211,0.268407,-0.159361,0.042279,-0.004232,-0.012282,0.047198,-0.030851,-0.067426,0.115185,-0.068795,0.018378,-0.001848,1.278629,-0.035000,0.619751,-1.558055,1.688781,-0.914416,0.242689,-0.025129,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.099691,0.007304,0.004215,-0.076574,0.122031,-0.078357,0.022643,-0.002444,-0.000256,0.004228,0.004971,-0.031837,0.038458,-0.020011,0.004815,-0.000439,1.310975,0.031384,-0.264366,-0.998374,1.783208,-1.085085,0.290458,-0.029078,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.100524,0.009465,-0.005485,-0.084108,0.159647,-0.111891,0.034320,-0.003875,-0.000513,-0.000013,0.005795,0.004705,-0.027476,0.025660,-0.009180,0.001146,0.998354,0.042755,0.044887,-0.440421,0.579429,-0.296505,0.066787,-0.005538,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.102345,0.019753,-0.023937,-0.178444,0.364581,-0.256798,0.077012,-0.008334,-0.001618,-0.008180,0.018327,0.082323,-0.203404,0.161039,-0.053736,0.006483,1.103473,-0.033435,-0.004921,0.183896,-0.264553,0.154963,-0.041419,0.004182,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.109425,0.140871,0.221514,-0.092707,-0.786001,0.730386,-0.231332,0.025106,-0.008768,-0.025235,0.132661,0.456086,-0.691476,0.332542,-0.067940,0.005105,1.101026,-0.007962,-0.011099,0.073684,-0.097362,0.055686,-0.014772,0.001490,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
