# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.042857,-0.415795,0.000000,0.000000,-0.374441,0.583828,-0.279556,0.054454,-0.003794,0.259478,0.000000,-0.000000,-1.155608,1.149143,-0.426174,0.070372,-0.004381,0.402399,0.000000,-0.000000,-0.007486,0.005142,-0.000893,0.000039,0.000001,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.329141,-0.553061,0.139578,-0.136488,0.231311,-0.096915,0.015932,-0.000946,0.536945,-0.071477,-0.308411,-0.192258,0.197917,-0.052744,0.006180,-0.000297,0.496121,0.067528,-0.008646,-0.013870,0.023067,-0.011239,0.002284,-0.000168,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.689935,-0.096081,-0.480875,-0.024481,0.093297,-0.014548,-0.000483,0.000136,0.155066,0.842853,-0.052024,-0.220922,0.022845,0.009212,-0.000919,-0.000058,0.743190,0.069635,0.001921,-0.029686,0.031320,-0.013206,0.002497,-0.000176,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.332983,1.079642,-0.084765,-0.256966,0.025223,0.011140,-0.000938,-0.000099,-0.874404,0.197310,0.592457,-0.104971,0.040665,-0.052954,0.014957,-0.001237,0.994421,0.069019,0.000238,-0.027818,0.030521,-0.013092,0.002506,-0.000178,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.736687,0.244512,0.634937,-0.191241,0.032343,-0.029576,0.008833,-0.000758,-0.188887,-1.031965,0.192797,0.097209,0.118630,-0.080077,0.015762,-0.001047,1.244350,0.070917,-0.000726,-0.030764,0.033387,-0.014039,0.002633,-0.000184,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.124482,-0.887536,0.145359,0.083051,0.108610,-0.074321,0.015090,-0.001039,0.756477,-0.180192,-0.499409,-0.034119,0.157889,-0.048205,0.005590,-0.000228,1.492811,0.069539,0.002989,-0.025424,0.023172,-0.008722,0.001503,-0.000098,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.451671,-0.164120,-0.394117,-0.076460,0.151816,-0.033053,-0.000026,0.000369,0.100488,0.690335,-0.066297,-0.109060,-0.142644,0.115106,-0.026923,0.002081,1.742630,0.060090,-0.000742,-0.008209,0.017257,-0.010021,0.002217,-0.000170,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.420000,-0.449845,0.000000,0.000000,0.015921,0.000501,-0.013312,0.006457,-0.000890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.900370,-0.000000,0.000000,-0.333909,-0.070087,0.195370,-0.069222,0.007538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.447880,-0.011331,0.016171,0.002389,-0.021829,0.017371,-0.005356,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739989,-0.210542,0.328063,-0.143322,-0.035674,0.012813,0.015301,-0.004238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.445667,0.003784,-0.009711,-0.009146,0.022301,-0.014090,0.003797,-0.000381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.973616,0.694763,0.334209,-0.489018,-0.178732,0.341921,-0.129950,0.015988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.450045,-0.000416,0.000341,0.000776,-0.000212,0.000237,-0.000262,0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.600704,-0.012049,-0.024873,0.163023,-0.078642,-0.152135,0.100306,-0.016002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,-0.449349,-0.003270,0.001121,0.009833,-0.015493,0.009623,-0.002739,0.000297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.780979,-0.362831,0.545686,-0.285452,-0.054959,0.113952,-0.041574,0.004989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.449493,-0.000000,0.000000,1.809518,-1.943559,0.831351,-0.173385,0.015139,-0.091479,0.000000,-0.000000,-3.748880,6.426024,-4.085756,1.158545,-0.124111,0.700572,-0.000000,-0.000000,-0.015696,0.031180,-0.023055,0.007487,-0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.095967,-0.872749,-0.204078,0.667262,-0.064955,-0.073360,0.008796,0.001537,0.427020,0.263833,-0.661072,-1.123075,1.621284,-0.775696,0.176409,-0.016493,0.700034,0.000699,-0.001873,-0.018922,0.053362,-0.049424,0.019099,-0.002643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.438125,0.188548,-0.838987,0.017146,-0.082393,0.354163,-0.175205,0.024726,-0.107568,0.868985,0.280177,-0.603959,-0.269237,0.349907,-0.084171,0.004167,0.702107,0.006788,-0.036959,-0.136316,0.493827,-0.504745,0.207872,-0.029745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.380034,0.030453,-0.449308,-0.134410,1.229261,-0.905697,0.250636,-0.024783,-0.004741,0.294337,0.111415,-1.424766,0.826921,0.091118,-0.141171,0.023353,0.891996,0.570991,0.020374,-1.473910,1.890002,-1.045123,0.274401,-0.027976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.445277,-0.115801,-0.846065,0.014819,0.372079,-0.083798,-0.017109,0.004705,0.063980,0.847285,-0.174104,-0.183012,-0.543848,0.520345,-0.155041,0.015763,1.098345,0.007720,0.030906,-0.134248,0.171811,-0.099982,0.027466,-0.002895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
