# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.042857,0.160970,-0.000000,0.000000,-0.280349,0.149439,-0.028377,0.002426,-0.000094,0.113571,0.000000,0.000000,0.697269,-0.686019,0.247930,-0.039874,0.002428,0.419650,0.000000,-0.000000,0.056599,-0.037294,0.009557,-0.001016,0.000032,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.156926,0.695671,0.092907,-0.174678,0.014308,0.000335,0.001484,-0.000223,-0.544785,-0.134039,0.305400,0.136405,-0.078219,-0.001963,0.003884,-0.000383,0.643710,0.071762,-0.005586,-0.029711,0.036797,-0.016276,0.003134,-0.000222,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.643620,-0.092820,0.484274,-0.013867,0.015963,-0.035062,0.009236,-0.000699,0.100611,-0.809867,-0.130792,0.102546,0.132347,-0.069250,0.011782,-0.000713,0.890729,0.069579,0.004373,-0.031522,0.031356,-0.012906,0.002410,-0.000169,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.363417,-0.987691,-0.131862,0.183404,0.112266,-0.075753,0.014384,-0.000934,0.881938,0.190106,-0.633459,-0.174797,0.257791,-0.080822,0.011630,-0.000692,1.142877,0.068403,-0.000534,-0.026516,0.030003,-0.013046,0.002516,-0.000180,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.820727,0.077191,-0.508198,-0.109888,0.183958,-0.057237,0.008098,-0.000477,-0.110710,0.891522,0.029030,-0.316831,0.125818,-0.033837,0.006624,-0.000543,1.392504,0.071222,-0.000659,-0.031576,0.033928,-0.014135,0.002627,-0.000182,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.167346,0.651633,0.013445,-0.246335,0.095859,-0.022089,0.003610,-0.000260,-0.565267,-0.026046,0.391501,-0.136719,0.094028,-0.054557,0.012155,-0.000899,1.640538,0.068976,0.005004,-0.022121,0.016817,-0.005431,0.000822,-0.000049,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.659767,-0.028190,0.408318,0.037217,-0.167397,0.078327,-0.015455,0.001134,0.086429,-0.308164,0.212744,0.121334,-0.192560,0.082080,-0.014989,0.001015,1.887164,0.038192,-0.025096,-0.011740,0.020018,-0.008710,0.001618,-0.000111,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.420000,0.749280,0.000000,-0.000000,0.011544,-0.019234,0.011706,-0.003054,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.901100,-0.000000,-0.000000,-0.032540,0.067111,-0.051002,0.016846,-0.002041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750456,0.001294,-0.005407,-0.011216,0.036105,-0.029952,0.009798,-0.001118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.899955,0.005840,0.002368,-0.045142,0.047015,-0.004320,-0.008633,0.001924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.739781,-0.004240,0.028704,0.019218,-0.027598,0.001408,0.004111,-0.000855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.743279,-0.445469,-0.373452,0.019526,-0.019577,0.130472,-0.063248,0.008625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750253,-0.006162,0.022057,-0.027002,0.012291,-0.000384,-0.001115,0.000211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400926,-0.016471,0.065589,-0.103568,0.077997,-0.029265,0.005085,-0.000298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.750221,-0.001161,-0.001957,0.007013,-0.005674,0.001643,-0.000074,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399771,-0.002872,0.002611,0.020634,-0.040264,0.028332,-0.008766,0.001008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,0.749267,0.000000,0.000000,-3.022930,3.255971,-1.399958,0.294320,-0.025959,0.148091,0.000000,-0.000000,6.450866,-11.171307,7.193495,-2.069120,0.225045,0.400553,-0.000000,-0.000000,-0.022404,0.049610,-0.040341,0.014221,-0.001835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,-0.211693,1.425215,0.444133,-1.060074,-0.002279,0.178589,-0.028782,-0.001039,-0.698480,-0.539562,1.064416,1.967446,-2.724801,1.292350,-0.295270,0.027926,0.400463,0.004436,-0.006515,-0.053322,0.129718,-0.109212,0.039504,-0.005213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,-0.699438,-0.521719,1.344241,0.182617,-0.030743,-0.454691,0.229518,-0.031213,0.280974,-1.376131,-0.662591,0.910021,0.547007,-0.555075,0.114311,-0.003253,0.402056,0.011772,-0.034843,-0.182153,0.552975,-0.526047,0.207049,-0.028787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,0.643647,-0.204853,0.641100,1.024886,-2.696762,1.686381,-0.428315,0.039862,0.061833,-0.348076,-0.730795,1.645096,0.558825,-1.479957,0.619659,-0.080309,0.516954,0.416959,0.107632,-1.059561,1.183867,-0.593058,0.143292,-0.013582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,-0.741798,-0.219567,1.423567,0.177570,-0.517175,0.001902,0.067926,-0.011441,0.103309,-1.413778,-0.074855,0.231686,1.084281,-0.877483,0.237800,-0.022435,0.699671,-0.004141,0.009478,0.010171,-0.035018,0.028837,-0.009824,0.001216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,0.175584,-1.426958,-0.344093,0.838124,0.339023,-0.421513,0.107551,-0.008422,0.727093,0.344332,-1.377254,-0.253475,0.426933,0.104904,-0.105829,0.016161,0.699975,-0.001779,0.000509,0.023210,-0.048475,0.038085,-0.013108,0.001659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,0.712259,0.467182,-1.385741,-0.316268,0.529551,-0.019997,-0.045979,0.006754,-0.239663,1.381702,0.494150,-0.659402,-0.832126,0.833207,-0.260550,0.029478,0.699818,-0.004685,0.001370,0.040766,-0.072269,0.048361,-0.014177,0.001519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.356000,-0.292603,1.351607,0.446719,-1.177931,0.959318,-0.588197,0.197712,-0.025358,-0.702967,-0.630734,1.603184,1.389085,-3.681523,2.599658,-0.792362,0.089788,0.700938,-0.005532,-0.029170,-0.025692,0.267027,-0.275296,0.104042,-0.013600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
